DISTRICT,IN_TEST,DATE,_1_1,_10_13,_16_1,_16_2_1,_16_2_2,_16_3_1,_16_3_2,_16_3_3,_16_3_4,_16_3_5,_16_7_3,_4_4_2,_4_4_3,_9_1_10,_9_1_11,_9_1_12,_9_1_14,_9_1_15,_9_1_16,_9_1_2,_9_1_3,_9_1_4,_9_1_5,_9_1_6,_9_1_7,_9_1_8,_9_1_9,_9_3_2,_9_4_2,_9_4_4,_9_7_1,_9_7_2,_9_7_3
Sheikhpura,No,Y201508,1614,0,,,,,,,,,,286,1720,1125,1122,1103,0,26,62,1950,0,31,75,1166,1113,1076,1576,1576,992,992,676,677,549
Sheikhpura,No,Y201509,1281,0,,,,,,,,,,327,1680,1344,1122,1104,0,10,26,1940,2,10,26,1344,1112,1079,1582,1598,988,988,697,690,568
Sheikhpura,No,Y201510,1006,0,,,,,,,,2,,402,1703,1591,1208,1058,0,8,16,1928,0,8,16,1591,1199,1041,1524,1479,1016,1016,665,664,557
Sheikhpura,No,Y201511,881,0,,,,,,,,,,248,1523,1528,1268,1067,0,5,11,1791,0,5,11,1549,1274,1078,1298,1235,853,853,672,663,556
Sheikhpura,No,Y201512,959,0,,,,,,,,,,220,1347,1590,1408,1192,0,2,9,1653,0,2,9,1636,1444,1199,1223,1074,1089,1089,679,676,566
Sheikhpura,No,Y201601,1074,0,,,,,,,,,,165,1275,1698,1564,1401,0,0,2,1582,0,0,2,1713,1579,1420,1075,1001,1299,1299,683,681,571
Sheikhpura,No,Y201602,1207,0,,,,1,,,,1,,157,987,1578,1652,1377,0,0,4,1245,0,0,4,1578,1652,1377,856,1016,1285,1285,665,662,535
Sheikhpura,No,Y201603,1162,0,,,,,,,,,,133,815,1245,1442,1470,0,0,0,1022,0,0,0,1245,1440,1470,690,927,1324,1324,680,667,578
Sheikhpura,No,Y201604,1345,0,,,,,,,,,,120,842,1185,1247,1315,0,0,0,1063,0,0,0,1203,1283,1345,722,1115,1361,1344,675,668,578
Sheikhpura,No,Y201605,1709,0,1,,,,,,,,,125,788,1100,1279,1332,0,0,0,1016,0,0,0,1132,1319,1367,666,1397,1397,1397,682,667,579
Sheikhpura,No,Y201606,1707,0,,,,,,,,,,173,783,1061,1223,1366,0,0,0,933,0,0,0,1061,1221,1366,666,1572,1432,1432,666,654,566
Sheikhpura,No,Y201607,1720,0,,,,,,,,,,195,1206,1058,1112,1217,0,0,0,1395,0,0,0,1058,1112,1217,1046,1629,1287,1287,670,669,582
Sheikhpura,No,Y201608,1474,0,,,,,,1,,2,,280,1528,1059,1089,1133,0,0,0,1798,0,0,0,1059,1089,1133,1418,1640,1170,1170,675,673,581
Sheikhpura,No,Y201609,1298,0,,,,,,,,1,,271,1625,1330,1050,1086,0,0,0,1870,0,0,0,1330,1050,1086,1360,1681,1089,1089,674,671,579
Sheikhpura,No,Y201610,1145,0,,,,,,,,,,292,1557,1496,1170,1052,0,0,0,1910,0,0,0,1496,1170,1054,1430,1625,974,974,674,652,581
Sheikhpura,No,Y201611,943,0,,,,,,,,,,242,1385,1401,1183,966,0,0,0,1580,0,0,0,1401,1183,966,1198,1182,980,980,666,660,592
Sheikhpura,No,Y201612,1015,0,,,,,,,,,,134,1317,1598,1452,1138,0,0,0,1511,0,0,0,1599,1452,1140,1145,1193,1299,1299,677,660,582
Sheikhpura,No,Y201701,1141,0,,,,,,,,,,191,1111,1589,1650,1438,0,0,0,1448,0,0,0,1589,1650,1438,1034,1144,1428,1428,666,655,573
